datetime,AccX,AccY,AccZ
2025-11-13 23:04:48.534,-0.021,-1.002,0.073
2025-11-13 23:04:48.534,-0.021,-1.002,0.072
2025-11-13 23:04:48.534,-0.021,-1.003,0.073
2025-11-13 23:04:48.534,-0.02,-1.002,0.073
2025-11-13 23:04:48.534,-0.021,-1.005,0.072
2025-11-13 23:04:48.534,-0.02,-1.002,0.073
,-0.021,-1.001,0.072
,-0.021,-1.002,0.072
,-0.02,-1.003,0.071
,-0.022,-1.003,0.07
2025-11-13 23:04:48.540,-0.021,-1.001,0.072
2025-11-13 23:04:48.540,-0.021,-1.002,0.072
2025-11-13 23:04:48.540,-0.02,-1.003,0.071
2025-11-13 23:04:48.540,-0.022,-1.003,0.07
,-0.021,-1.003,0.072
,-0.021,-1.002,0.072
,-0.021,-1.004,0.072
,-0.019,-1.003,0.073
2025-11-13 23:04:48.582,-0.021,-1.003,0.072
2025-11-13 23:04:48.582,-0.021,-1.002,0.072
2025-11-13 23:04:48.582,-0.021,-1.004,0.072
2025-11-13 23:04:48.582,-0.019,-1.003,0.073
,-0.021,-1.004,0.071
,-0.021,-1.003,0.072
,-0.02,-1.002,0.071
,-0.021,-1.003,0.072
,-0.02,-1.002,0.072
,-0.022,-1.003,0.071
,-0.021,-1.002,0.072
,-0.021,-1.002,0.072
2025-11-13 23:04:48.684,-0.021,-1.004,0.071
2025-11-13 23:04:48.684,-0.021,-1.003,0.072
2025-11-13 23:04:48.684,-0.02,-1.002,0.071
2025-11-13 23:04:48.684,-0.021,-1.003,0.072
2025-11-13 23:04:48.684,-0.02,-1.002,0.072
2025-11-13 23:04:48.684,-0.022,-1.003,0.071
2025-11-13 23:04:48.684,-0.021,-1.002,0.072
2025-11-13 23:04:48.684,-0.021,-1.002,0.072
,-0.022,-1.003,0.072
,-0.021,-1.003,0.071
,-0.021,-1.003,0.072
,-0.021,-1.003,0.072
2025-11-13 23:04:48.690,-0.022,-1.003,0.072
2025-11-13 23:04:48.690,-0.021,-1.003,0.071
2025-11-13 23:04:48.690,-0.021,-1.003,0.072
2025-11-13 23:04:48.690,-0.021,-1.003,0.072
,-0.02,-1.002,0.073
,-0.022,-1.003,0.07
,-0.02,-1.003,0.074
,-0.021,-1.003,0.072
2025-11-13 23:04:48.725,-0.02,-1.002,0.073
2025-11-13 23:04:48.725,-0.022,-1.003,0.07
2025-11-13 23:04:48.725,-0.02,-1.003,0.074
2025-11-13 23:04:48.725,-0.021,-1.003,0.072
,-0.021,-1.003,0.073
,-0.02,-1.001,0.074
,-0.021,-1.003,0.072
,-0.02,-1.004,0.073
